,AndreaBocelli
0,982314427243380737
1,1329017104574648320
2,1523419804065058821
3,1520080151303839746
4,2561975725
5,297558972
6,889387637408239616
7,791233205655527424
8,1524395085730828288
9,1499133423453188105
10,275944241
11,1454470531592433682
12,1525855066401513474
13,1514480197843697666
14,1482748803497267210
15,1513743170173300741
16,1173459407822368769
17,1456318930516168705
18,1519410406128762881
19,1495479954125037585
20,1510303265409441801
21,1525368162518290433
22,1425971809405575170
23,3366363321
24,1469713319061774338
25,1365571895391899651
26,1493682037466800133
27,1206512023678390272
28,1520160393171197954
29,2739454864
30,1314876152100651009
31,1229724353186672642
32,2607907477
33,1385920675
34,1525766494159765509
35,1525826164656181248
36,1147195025585049600
37,155888835
38,1242215907532976129
39,1187047986372591618
40,822760762137378816
41,141019836
42,49464372
43,71295693
44,2551934183
45,1524587968849408005
46,1508490221008175104
47,1524948489083441152
48,1522329179823480832
49,1501534006676013057
50,1473059710622388228
51,3216196083
52,839885943070867456
53,1525609837194788865
54,1324069530176507905
55,1920136694
56,1488426565495140353
57,1525571064134500352
58,3256967422
59,1522664917274353664
60,1124520505
61,1579126950
62,1294987268667650048
63,1519044719837331462
64,1519129649405562880
65,1525521619137048576
66,1504452796002807820
67,1006440109359714304
68,1134913556334469120
69,3303592042
70,1073857856036892672
71,1525490147449511937
72,1154973481
73,4228762116
74,1525452792940310534
75,1520807901471944706
76,1525417300794687488
77,1518655683197034497
78,1523971565947437057
79,1342594736264151040
80,1428569233059811332
81,1401651262832070657
82,1848290880
83,1331618244826984448
84,3293039587
85,1524557849237544960
86,1519880154683609088
87,2544093427
88,1525287239726551041
89,1525253612695322627
90,1246893420238589953
91,1525055055119908865
92,1404039820138008581
93,1001520147599896576
94,1522319943072731137
95,1439655472005586944
96,3357033166
97,1488213265280905216
98,339789042
99,1522739898918256643
100,1380910862500790274
101,1518587291966574595
102,1525112792906358785
103,152335509
104,1231336797445197825
105,3152445814
106,1495096458814668806
107,1524408206147338240
108,1453820502078787592
109,27989078
110,1520418996872429568
111,1525025311351779328
112,716024667002114048
113,1524989126030000128
114,2987712388
115,1523889432700542976
116,1031025500
117,1318621498379304962
118,1103199290548051968
119,40535243
120,1524915352244826112
121,1463095685461557250
122,1365488901138362371
123,1524480308925530112
124,1524520446384914432
125,1524889822690791426
126,1524850729822961666
127,32774989
128,1504421772862664711
129,1524489569386647554
130,1524879252423860235
131,1524306879702511618
132,1524868212956925953
133,993972847
134,1524606091253923840
135,1176613977171869697
136,1524825723768565760
137,1524802515337871361
138,1519817896263884801
139,1511189561845551105
140,1524583150780702720
141,71729038
142,1515839480988844032
143,1524736869107339264
144,1524735787337543680
145,1521987091651076096
146,1524628474115555328
147,1450294352660471816
148,1524559340795211776
149,844335847
150,1524693075498770433
151,1524690807076233216
152,1508848889654296582
153,1512918815683788803
154,472195953
155,1468079288196886528
156,1507468752480522243
157,1524560129110462464
158,1458718645853376514
159,1524579833942278144
160,1458255128453005314
161,1524593515225038850
162,602421676
163,1524590130236846080
164,1542551137
165,1511543679499980800
166,392265295
167,1521436195674198016
168,1524544747708481536
169,1524538529677783040
170,1524479304863727618
171,1524379323024650241
172,1524184330297217029
173,1524512362098659328
174,480645459
175,1362521749556850690
176,1524481154614980609
177,1109919400990261248
178,1524447393328115715
179,3109028125
180,1445070661442015235
181,1524413578593243137
182,1524405810104733696
183,1524385263614513153
184,1490557134198640644
185,1524375234098262027
186,1498661798479745029
187,1267248221946023938
188,110312709
189,1260799424072015872
190,1514823699291308032
191,1270879781022621696
192,1524362786805264384
193,1356547867360526336
194,1481383283153948676
195,1512760435208040453
196,1506018997799731219
197,1256102886007885825
198,67215818
199,140267802
200,1521674197201653760
201,851285209215414272
202,1505365021177655296
203,67809725
204,1161831785543675904
205,1505381453160321025
206,1512510996799279112
207,1453998961
208,1520269277235978242
209,1524139109748408320
210,2390051970
211,1523161211981996035
212,1215140364782309376
213,1410751484007006208
214,1411012973901094918
215,1264187963316957184
216,1519928012975845377
217,1516142821593522176
218,827002352
219,1523564739586326528
220,1500300322723540997
221,819314392802201600
222,1504364070148976642
223,1524025245597847552
224,1524005896711557120
225,1004782548176650245
226,1241461429544325120
227,1246519517641084928
228,1382913523492270082
229,1497113634069262336
230,1523545919525986310
231,1523880882045607936
232,247094400
233,1522405623241097222
234,1522030463287631873
235,1523794649017720833
236,1464567493377376266
237,1503541888443314178
238,1481611417539252231
239,1523678112835260416
240,1506991982345814020
241,1523664687426162688
242,1451594105616805889
243,1518495144810467329
244,1514856655120384004
245,2220372327
246,1523547304111656960
247,1503937139175997444
248,1523497782333517826
249,1369326831002914824
250,1386253275121455105
251,1416954439500509184
252,733736083675074560
253,233125685
254,1517873444448358401
255,1477269294916550660
256,1523420862002745345
257,1222279428761432064
258,4871791063
259,982618490719952897
260,290136052
261,1514293752201940994
262,1523332135515480066
263,1312903546476658690
264,1522974363695435777
265,1523274727753715715
266,1447952579594436610
267,1404752076
268,893128464202477568
269,1512072282520588290
270,2353259917
271,1510374942675722247
272,1513735435859734529
273,1523160597898182656
274,2901768472
275,1518925720499666945
276,61322172
277,1445879104117432324
278,854392690741563393
279,1505121005882294274
280,1138426694132469760
281,1518873222388895744
282,1441887098391261184
283,1523035012689448961
284,1091476618500075521
285,837775014
286,55006717
287,1321502791
288,1522934178278526976
289,1520256905930842112
290,1510247572757229568
291,1471007864
292,1521848664859283456
293,1522881784429563904
294,1522853380296744960
295,1470787120755318789
296,1441616001955627008
297,1502018104909520897
298,1258902170264633354
299,1456004914455457797
300,40566183
301,1360434884
302,1242252655923249153
303,1522719864053452800
304,1047884721831792640
305,1494073043387305988
306,1522695855958114306
307,1373673269124075525
308,1519826878466510850
309,169432564
310,1137258624
311,1496114586772197383
312,1415623600611155970
313,1522000795570348032
314,1522624308065017864
315,1518698630118576129
316,1521205276233265152
317,108356311
318,1414835347
319,1516759825983623172
320,1444280987592970241
321,1522505764597813248
322,1401909190948319232
323,1455157161294802944
324,3381489358
325,589231259
326,1511067504
327,422047516
328,407780573
329,1306626973817622535
330,635763161
331,1355643542
332,1487918066717573120
333,1512848545149239303
334,1515769459427971074
335,1505174749063884800
336,1511985843996532739
337,1503601227459870721
338,1465411582821867534
339,3049321709
340,1502336824030674960
341,1519761642921205760
342,804645710457110528
343,1519011655794905088
344,139355174
345,1521383288249720834
346,1242813420421795843
347,917752774808522753
348,1460499095165063168
349,36097578
350,789899343763480576
351,499052827
352,1183605631418277889
353,1516339126760579077
354,1214546379281973248
355,1071088860820574210
356,1521967669603315713
357,4906319175
358,791805638913384448
359,1521450965907521539
360,1521801111388139521
361,1512877970100269057
362,1503646653475028995
363,1521635524552839168
364,2578937776
365,1453772860942598147
366,233557741
367,893065271434514432
368,1521927980251234305
369,824737436139925505
370,1488100304268795904
371,986930605643436037
372,1521857595157499905
373,1521792009794895873
374,1521848205230903296
375,1424872753304326151
376,1634210724
377,1174734893500260352
378,1293652174027853829
379,105411501
380,1355438823245819910
381,453361174
382,1521391869221085184
383,1098583789444521985
384,993615355384909824
385,22137087
386,1172625636449538060
387,1519060392579846144
388,25724036
389,1521596073944494081
390,2856270035
391,1499885619501318145
392,59803921
393,2427849750
394,1517958783443611648
395,2154659517
396,1510503105770700801
397,1506694042523951115
398,839454769336942592
399,1516293510055477248
400,56774138
401,1520314764177686528
402,1521286850727534598
403,358366147
404,1359669442553278473
405,1521112790282477571
406,1476079405218897923
407,1521367923998306309
408,1520740568522964992
409,1328365999146545154
410,1462404865787936776
411,1111319163757305856
412,1512926977707196419
413,1519156955746557952
414,1508743668592615434
415,1521246777143599104
416,1521249307487350785
417,1402190455119384584
418,1509547157946257411
419,39705220
420,1347764799141261313
421,1142678521791180800
422,1502882432076369920
423,1521168273491959808
424,946461961
425,1275074954065633282
426,1521117165327466496
427,2991486069
428,47682084
429,1445507818744950784
430,1437377678701735938
431,1245767274595844096
432,1921027392
433,1375129701237334017
434,1504528144551890944
435,1486772021438652422
436,1520610102998409216
437,806754183374258176
438,1520905724007792640
439,1466212114507444228
440,1505444174136586243
441,1520883670554447874
442,1520863873535864834
443,1515147480488370176
444,817515971795709953
445,1019438322
446,992992485910695936
447,1519717566775586817
448,1520446122375921664
449,2977092660
450,1516193421681119234
451,1482045046211977229
452,1520539298960916481
453,1516165931285815297
454,1519256390249951232
455,1518641371321622529
456,104370570
457,260128610
458,1249270200912039936
459,886412983336714240
460,43737784
461,1520302584434679809
462,1515489067990978561
463,1518710480755474433
464,1510224560809033730
465,1202473238
466,1520548370410090497
467,1520212931509633039
468,1508759187920093184
469,1462029721173213192
470,1520538764879269889
471,1508296986092777475
472,1520385680446218247
473,1512484769589825541
474,1500442542533447689
475,1518707187610263552
476,1520410741504937985
477,462323816
478,1519919648044503040
479,2345276359
480,1519220962562129920
481,1494975359384788994
482,1434732234355863553
483,954099040693768194
484,1499352657290403841
485,2342759682
486,1520260928327016448
487,1520258415880065024
488,1432969518117183488
489,1520249195344502785
490,496061578
491,1514678316099325954
492,2735273673
493,1520211540397502470
494,586930873
495,1520154343625789441
496,1518771791283560448
497,1485604270926098434
498,955484396685062144
499,1009688217942048769
500,1520195398354468865
501,1519431654657380355
502,851702300435517441
503,1518759454640001025
504,1476602363360296965
505,1505388945949011973
506,1519965276137304064
507,213673697
508,804326877192187904
509,1439377473528082436
510,226311285
511,1478093795052990467
512,89023725
513,1520019517350375425
514,1520014270397923328
515,167051383
516,405176133
517,3405488896
518,141071990
519,1519081256398602240
520,1519880713692188675
521,1519083749727621120
522,250406518
523,1490834161812316165
524,1477056952601804808
525,1519797790871851009
526,1519843455287050243
527,1497729932763537409
528,1519597875226984449
529,1519780191131865088
530,1515650590117924866
531,1519806601338798085
532,1519020076258795525
533,1370529349871534083
534,2251200807
535,1519739626075787269
536,2733165166
537,1355644094664597505
538,1445127627291910145
539,1023004985494106113
540,1492207199493447686
541,1097239342743982080
542,1519010900967055362
543,1519391498512392192
544,1519665359791480835
545,26049265
546,1346963939821715457
547,1519597790816612352
548,1471625524183248907
549,1483452819629916168
550,1471291519818633217
551,1418388676225216513
552,1519346546898345984
553,1445135685690675200
554,456383403
555,1519389324940296195
556,1356390595447676930
557,1143620723988205573
558,1282100800744038401
559,1518697338759483392
560,1501057900571246594
561,1519381249219084289
562,1519352676705779712
563,811958370
564,1518994892562866178
565,1519354128199213057
566,1519204199132672001
567,43654516
568,1471273356829855747
569,755128357235355649
570,1517499325370273793
571,288942603
572,959743386143150080
573,68421233
574,1519242869713817603
575,22655366
576,870783703797997569
577,1511868818821369862
578,1513745155924365314
579,1519177428278644737
580,1519175667434328064
581,1519162750253125634
582,901244202096394249
583,1513029382461444097
584,1519139044470542337
585,1509044518791925766
586,1518757721792815110
587,1519116020300013569
588,843111227828178945
589,261009498
590,1080115633277333504
591,1278924545903247367
592,1518687940116897794
593,1519050141461848067
594,1518791020003082240
595,1519077703617503233
596,1519047093960257537
597,1447553980951928833
598,1519017371306008579
599,1519038829277024256
600,253175805
601,1519012895077679106
602,1437937407329030161
603,1518969509729775617
604,1371073751228542976
605,1518959676397916162
606,1518986804845854721
607,1425366502006472707
608,1518971145055514624
609,1518967875540819968
610,752938595657408512
611,1455556619509682186
612,1518879545075675140
613,1518707298214068225
614,2937922023
615,1518873060849623040
616,1425145300792922114
617,1491475477768413192
618,914350703010832384
619,1518791916451676160
620,1392843892010192908
621,1516587455058571264
622,1518771602757931008
623,1518773112002732032
624,1518763293447438336
625,1494276950650724354
626,1493070987956531202
627,1439209726089252868
628,1513058180233846784
629,1518755599135166466
630,1518735493151744002
631,4577839167
632,1518730114900582400
633,1420895412777537538
634,1518729112680079367
635,1410415568163938316
636,2459978798
637,1518675963063803908
638,1933224792
639,3038399723
640,34050288
641,1517508210969751554
642,344749083
643,138910512
644,1392799421683929089
645,1514630679711129613
646,1518573865974304768
647,1353713857596948480
648,1347005115585032192
649,578684641
650,1470516729503784965
651,1464898287283150855
652,1518422975581593601
653,1506766424844427274
654,1509528461953560576
655,1194732911448264705
656,743507214
657,1517963449946488832
658,1116956052409540610
659,1477101017246412815
660,1494319472651423745
661,1511182719509680132
662,1518243335709900800
663,1031727869691453441
664,1134014199099789312
665,92495766
666,1505132305748217859
667,1510356331085144070
668,1502990111075622912
669,1499873651851771906
670,1518076644065480704
671,457639956
672,1499250787100151811
673,1513033618427465729
674,123036043
675,1312748853477535744
676,1508518483763544068
677,1479621297848131591
678,1485262757117186056
679,852578433448235010
680,1514332412771246096
681,1498275072053682181
682,1517851194382856192
683,188207656
684,1510689813535539200
685,1318780480074862592
686,1517819837631844352
687,216541088
688,1516770014392733699
689,1497727581029900292
690,1456149888148852736
691,1381560710111453185
692,46305295
693,1504185627016843269
694,260406731
695,710491069
696,1585580376
697,1407249969216724994
698,90661198
699,1472826949277990915
700,1506580133691461633
701,1508198820924084226
702,337181242
703,1499454195212111876
704,1272902335279378433
705,372768698
706,1250837977846120448
707,1231986675481366529
708,417854141
709,1517462372000141312
710,897889898241433600
711,199496140
712,1498820580283494400
713,2170306355
714,1517327797508878338
715,1327026069279424513
716,1517305114247065601
717,225713145
718,1517238033627684871
719,1517212375132385281
720,1221585906278096896
721,611235487
722,1338875676737347585
723,1217037434
724,3419122193
725,1507196330724237314
726,1493061441225728000
727,1213625106649382913
728,368535911
729,1491511305768951818
730,1512072505724321809
731,341170630
732,1129702945845579777
733,1477637232051765249
734,1279609506775744513
735,303416284
736,1064655864185987077
737,1469394943735119873
738,353164359
739,241966580
740,1513503607865421824
741,1271012970366005250
742,1333378458907533312
743,1503382401346588674
744,1516704524752334848
745,1457890248805990400
746,1484569640495992841
747,1319151062960332801
748,1219363480882614274
749,1507067986636525596
750,1516574293701939202
751,1514400724398002182
752,1469361067260268552
753,830898840584716288
754,1928307266
755,1622674292
756,94752728
757,1516501884487581704
758,27438919
759,31925016
760,1516419737177276416
761,4197406941
762,1390921244938145793
763,59784636
764,1514933690639560709
765,1500359328985120771
766,36220546
767,1472843991439790082
768,1503429002756722689
769,1516147640102174723
770,1512481385516310537
771,1516121770264256523
772,1020670947966226432
773,110875104
774,38094025
775,1402312211847057417
776,21472464
777,108112178
778,1515361856986226688
779,1463123040439443456
780,810039758579781632
781,1001345166446419968
782,22696172
783,950775632530739200
784,1516121354474565641
785,1515079888637771777
786,561355596
787,756753528387801088
788,1452614751863951363
789,1514988574831226883
790,3372002986
791,1015934576437235713
792,1222844688626880512
793,2265792338
794,1515821151523590144
795,1490809003458416642
796,54525773
797,2618931683
798,1495590852613349379
799,341688336
800,41500634
801,1505785591253807104
802,1504138171629637637
803,1515750630681460736
804,1515732606112915456
805,1017880807472541701
806,1515738853709160449
807,1421893731452600321
808,1484084326224793602
809,1504884907193126912
810,1509201578955358211
811,1141402581304053761
812,1515637413074378756
813,1513200564607373317
814,1252502595077320706
815,1280726736188121088
816,1459048296933064706
817,1513485424186073095
818,605044031
819,1327671086264225798
820,3076680100
821,885150354958057472
822,769097125
823,1514789491667443712
824,1226109903753957376
825,1260026915684970503
826,1515303394663088135
827,1437192774282006532
828,3016085522
829,1439177671326539778
830,1512622441037709316
831,506855276
832,1514395302433898498
833,833704411
834,29501331
835,235341179
836,1253649601317527552
837,717168426
838,2275255899
839,1514750290959949824
840,1505005220522192904
841,1271881463617556480
842,162718554
843,1906233594
844,1299801409613959175
845,1397227583700410377
846,182242517
847,2535873487
848,1350616045481033728
849,1509478539183144960
850,159622191
851,1170518787176710144
852,1446183724924776452
853,1248077623
854,75607765
855,1514603098538356738
856,1514858302907330561
857,1490274435391442952
858,1510501234574340098
859,785490277
860,581512431
861,1955302892
862,1498025651973984258
863,1102512427114086400
864,1485364012778856449
865,821543935705161728
866,4862511635
867,1514664753616105481
868,1514742101405220870
869,1335654848734375939
870,1511565457400205313
871,1505963816705794049
872,1488299388120317957
873,1514605312967204874
874,1469305410884894720
875,1514510316058685442
876,1514501723817193484
877,1480734315243786244
878,1216551242404524032
879,1513879981763538951
880,1468004824302108681
881,45893842
882,1116387172431613960
883,1492798759042007047
884,1119620582054813696
885,1462272434258731008
886,1305494302685102080
887,1514324044962832392
888,4688342532
889,1513864654551924737
890,1514149737661931521
891,1489015904822169600
892,770635422
893,1417262136577961994
894,1248371676607164416
895,1328654947081187328
896,1514082252959154177
897,2548055775
898,1645844006
899,1459264598448783360
900,1049011965673295877
901,1214723777575161856
902,1451605881045540866
903,1508381021745696769
904,1350156112021090304
905,1255103135024058368
906,1438845658472062977
907,1431735233137844224
908,314525383
909,201310208
910,1385636223612592142
911,1470228610741149698
912,2915844756
913,1232215114650148865
914,1406675594440544263
915,1513694893138497539
916,418111141
917,1304829409162153985
918,3360221892
919,234066088
920,1479108845267918853
921,1513647859115216905
922,1046033817201508352
923,1214669466379812864
924,796756099466674177
925,1448696045521801218
926,1384909426218442761
927,3322601818
928,1172085679611875328
929,2935520049
930,156672721
931,56139225
932,24070058
933,1513499252592455684
934,1501024491400540164
935,1478570502608277504
936,1513472093685522434
937,1469971385766359047
938,1513001465039757316
939,1513156148391776264
940,1004117607086198784
941,1512955093947195400
942,1503483516037873677
943,712544850
944,1350466931044847616
945,1513223476944900097
946,1194439798037078018
947,1513210753075064834
948,235859920
949,986789554211508224
950,1487418783509716994
951,731140847455092736
952,736464569871171584
953,1512325314894086146
954,992232795832537093
955,879198784462348288
956,86337064
957,1513112210071077007
958,1359706350264061965
959,984787694721970176
960,1507073697806532613
961,1120717186308251649
962,1427329567761453071
963,1513002082885844993
964,1476226795955499013
965,1459934762
966,1512954007966429187
967,1259991362440757249
968,1500806930557771779
969,1000814125
970,1292663273112899584
971,1512723626528751616
972,1428217636068921354
973,741389907617296384
974,1485472711761530881
975,161145051
976,1445500937162788876
977,41074829
978,1393018138401382400
979,1414292068592201738
980,1511753594558689281
981,3385425315
982,884550686683275264
983,1512469155286503428
984,965059204028407808
985,506905562
986,1109058556450476032
987,1471195643272216577
988,1674162876
989,1623931591
990,108831610
991,212038375
992,344456432
993,1512540537408131076
994,1455683595050291202
995,1510369733803229189
996,1512150958607896580
997,1489398843225559047
998,397128477
999,1425874801449598977
1000,827193103698255872
1001,1421574199840153615
1002,1496876856217374725
1003,1512307877389557760
1004,1464391146722009092
1005,1511039758755057668
1006,1374456876826468356
1007,760756058088435712
1008,1477755405724008452
1009,1479514458535903240
1010,102769344
1011,1253018566586183681
1012,1114890516414509056
1013,730187254681964545
1014,1043140251903041536
1015,1236700549627686912
1016,897656346417528832
1017,1504936466178351106
1018,1386495457833066497
1019,1446136003660587008
1020,1357107053370740737
1021,1232338062925090816
1022,1476686033727025159
1023,908596766026747904
1024,1446280245032665088
1025,1511865655766794244
1026,1403557785296646145
1027,1512193172134371331
1028,3374933837
1029,1511234894843854850
1030,190520350
1031,1508927316210196481
1032,1095495714526978053
1033,1507627423709507585
1034,429405270
1035,1505004652206731264
1036,1506353959593721860
1037,1470210967552368649
1038,266708904
1039,1340787471227994119
1040,831153930834948097
1041,1511891887539441669
1042,232904166
1043,1310422899203989504
1044,1511732748125364225
1045,1466588990128201730
1046,1202562362
1047,1483226244883824640
1048,337765907
1049,1105142216140320769
1050,1511743641416515590
1051,1399657643380195334
1052,1497932443667640321
1053,366993421
1054,84186300
1055,835395872
1056,1511682613865553925
1057,44156240
1058,1511291500390461443
1059,781072846588026884
1060,423730401
1061,1511478267458592769
1062,625202049
1063,1207890779651358721
1064,1124546358944440320
1065,363517033
1066,1503574193128026119
1067,711681826201477120
1068,1320745251863207943
1069,1511441432011227139
1070,55339451
1071,10647892
1072,1505071269204697090
1073,1494299640723820546
1074,1511181027900895234
1075,1444490127804440578
1076,1511188949309526021
1077,2297324486
1078,1504850372694884352
1079,421337750
1080,421253386
1081,411113821
1082,3148596764
1083,1373256325359095810
1084,1511002746081656835
1085,1486023041368870916
1086,349331125
1087,1479462000514138119
1088,1510730745890934786
1089,2871632962
1090,1499441060291956752
1091,117457773
1092,122073456
1093,1094187917591887873
1094,1490039888007340035
1095,1355133598492450816
1096,2494965139
1097,27951093
1098,1300150116200984578
1099,415134949
1100,1955244602
1101,1510720959640129545
1102,1488666463699304448
1103,1499851264225644549
1104,1161009857547444225
1105,1287897840694497280
1106,1497624101346754561
1107,1566231972
1108,1510656371645202442
1109,1365478739228971008
1110,2328010219
1111,965853576
1112,53050088
1113,1510379928872792065
1114,1454823750529126400
1115,1111290455218626565
1116,864508804263804933
1117,1519227205
1118,920920953022017536
1119,1412460000790953986
1120,1510416795051700230
1121,865034084124372993
1122,513688118
1123,1407839293331046406
1124,1499192501009223680
1125,617280784
1126,50428799
1127,103666381
1128,235185868
1129,1099470334561042433
1130,1509944396552224780
1131,1428141062866997257
1132,1491332647125143555
1133,725327922949574656
1134,69066521
1135,381338481
1136,1510069390250852353
1137,917949018105188352
1138,1494077936068145153
1139,1510006367968448515
1140,1509957868665163778
1141,1336383599055028224
1142,1396169758077329409
1143,1222157963193995264
1144,1414581575329533957
1145,1509749838824435715
1146,1168527680033177600
1147,1357477729478660097
1148,1509535612138795009
1149,1028837746427744256
1150,1509695820744040449
1151,1076199644756131842
1152,1509671048849014794
1153,321777614
1154,1469511374317445123
1155,1392058640
1156,1126537272478830600
1157,246428667
1158,1509584784879669248
1159,101657907
1160,1508940059944308739
1161,1278719175452655617
1162,1393743603302682628
1163,41620321
1164,27147869
1165,418720778
1166,1268175976879607811
1167,247439262
1168,1101913854630477824
1169,1484450814739451907
1170,1509508666067668992
1171,2950158365
1172,1509458129095901185
1173,1135858332793802752
1174,1548151351
1175,4739175773
1176,1064513031483338752
1177,1504422845887266818
1178,1509354299096186881
