,joshgroban
0,1217995504690388997
1,16278672
2,1525352155871268864
3,26238136
4,3838262728
5,791233205655527424
6,1115563070242414592
7,1522600926531530752
8,704284895640752128
9,1476447454794956802
10,1504580272532111365
11,25502156
12,1512800698391482379
13,1524940822180929551
14,1526008364442198016
15,1315753844912140288
16,1495479954125037585
17,1525567725174759426
18,1472675476036542470
19,1525921432311459840
20,1522926264444727296
21,1367857353387806727
22,1236554160847433728
23,52989029
24,1525766494159765509
25,77902082
26,3267047940
27,1525632357985812483
28,1512842251029950473
29,1525682640778559489
30,1524832213870727175
31,1479614609111851014
32,1519289269420015616
33,2994423959
34,956037553458679808
35,1512417443922296834
36,1519336095263166466
37,839885943070867456
38,15652565
39,1504452796002807820
40,1413840828213071878
41,1342594736264151040
42,93766366
43,1520661819962052614
44,1518793438791184384
45,3496731556
46,1519084680729051137
47,1525271696286040069
48,1298043787516624896
49,3241899440
50,1164998200241065984
51,1488213265280905216
52,1217185427234480128
53,3343103475
54,351476091
55,1121077605988470784
56,1525144130992476160
57,1419482327701467141
58,850797125202046976
59,216250404
60,1274724796715225088
61,1852595419
62,1487130778337263620
63,1521414531263651840
64,1525023922168684544
65,1321747820936859648
66,935990962140020736
67,1262580696574459912
68,1508944040586354692
69,3383981938
70,1507983944804802561
71,1324501082832166913
72,67127516
73,1295799720254685184
74,1518906580028252160
75,36980342
76,1523755103940980741
77,454575714
78,1508321643583602692
79,1524802515337871361
80,59709388
81,1642776067
82,1519470133890240514
83,2996180246
84,1484828613363089411
85,1427359925211209737
86,1394352154689818626
87,1512185613008703492
88,818796166808793093
89,71729038
90,1219624488561713152
91,1523309620655280132
92,1524676723249496066
93,1519157469921964032
94,1524254892289937409
95,1314840857078632449
96,139442390
97,1524548403509690369
98,992718983823441920
99,1516551566681161732
100,1523943088951021569
101,38069655
102,1524426461435904004
103,1524002604317134849
104,1512072505724321809
105,1493429144474071044
106,1523552613064757248
107,2836805266
108,67809725
109,1369368595118100485
110,1080306091
111,1161779961499402241
112,1480738497480769537
113,1476316778842234880
114,27514849
115,1493670011814264840
116,1493818405408890885
117,1292660726184607744
118,1490745176247218179
119,1464675863740485645
120,1491590626298712064
121,2684079787
122,1955597702
123,591074631
124,1523803932182544384
125,1507015762501808144
126,931995851383361537
127,1520935263958151168
128,1523750607672254464
129,1232528634297978880
130,1523769283783929857
131,1631893658
132,1523732107381596161
133,1521112790282477571
134,1439479013177630720
135,920115685
136,1840308854
137,1523467004321034240
138,1522641063961366530
139,1510318083134701570
140,1476708674928357379
141,1520750273421094919
142,568727123
143,826416164188205056
144,1885365055
145,1325178092709683201
146,1324327721955184640
147,1419576030814212096
148,1487424661570871296
149,1504243646735929344
150,1512958559935471617
151,1424012503898595330
152,1523184154636136449
153,1522415339992240129
154,1512419006191325186
155,1511973132030128129
156,1519480448585400320
157,1512981506448318471
158,1519715403366383616
159,1502603759075135491
160,409384384
161,1523061802308972544
162,1409826174
163,1520256905930842112
164,1522364781973413889
165,4368280042
166,194325907
167,1477315729380847616
168,1504433312190054404
169,1508292059874185220
170,1497278856343998464
171,1516771454972567553
172,150101603
173,1522651257420193792
174,1522668749605670913
175,1467901914977345541
176,998783370
177,1516328058919260161
178,1522609621046902785
179,184223060
180,1342387692
181,1492542478607650822
182,35340878
183,1047548408578416646
184,1522459311754018816
185,19749421
186,1266028420275810308
187,1522365571672719367
188,2855207483
189,1512481660650020866
190,1515143985857441796
191,264190811
192,231886833
193,946478727235538944
194,1447017230982656000
195,3371586081
196,733320577
197,1429402217929486336
198,1521823832159498240
199,1484297841732468737
200,1521619881036156928
201,1519231634108608513
202,1521655963027136513
203,1518143324808704000
204,261885156
205,1392947357843656709
206,1497289074218082305
207,70507903
208,724501572
209,1444755609631399937
210,3351946996
211,422910434
212,45014284
213,206760692
214,1165165376
215,26250390
216,218790733
217,1511924646806884355
218,1453337007225180161
219,1080488213783949313
220,3074273844
221,1413111186758029316
222,1521308767895183360
223,1512537624224931842
224,940988850
225,1495130042610892808
226,1512523391835779077
227,1485985209287905280
228,1521589210507001856
229,1348966653158154242
230,1521248299986321409
231,1519386927857819649
232,965184032962162688
233,1521532837999964160
234,1201426882740117505
235,567927545
236,1519732625505669123
237,1519731893218029568
238,1682203086
239,1516293510055477248
240,1099226276
241,971540639182737408
242,727655854539866112
243,266399991
244,1518427335124475905
245,1519175605383839744
246,763791174
247,69732619
248,36054494
249,1375091861199716354
250,1508231152343171073
251,27000350
252,1506075945781837827
253,1515145421886156804
254,23821012
255,1314362696498896897
256,707250081624367104
257,2236677114
258,1519842750237130752
259,18164500
260,1510407432606035974
261,1490826530586562566
262,1520926031150043136
263,934852221526773760
264,1508882838913011715
265,22646616
266,1389016897014968321
267,1520940530611408897
268,2189082012
269,1520931961920966659
270,1516145670742327299
271,29539224
272,1515712535135240211
273,1508899770621956101
274,1520846754777735168
275,1465701990080520199
276,1479271058570199042
277,334927761
278,15180499
279,1517874377718898688
280,1502477930877882368
281,1471199234183548930
282,1520772074603696128
283,466212376
284,1339075474811580418
285,1481072494022963201
286,1520743731086774272
287,3666899960
288,2725098536
289,195955716
290,2880117235
291,1264404466356285440
292,1519967715519311873
293,6274872
294,1520068772345884674
295,1520574898418106368
296,1460499095165063168
297,1496539797078392837
298,957334175731863553
299,214085077
300,1499032778662367248
301,1436153262466641929
302,1520526909276311553
303,25825153
304,1509656544346050565
305,243992524
306,1445489277748404231
307,1498037555270402056
308,1437435925454262277
309,1283149831540793346
310,3226466079
311,1314930612004941830
312,1292458355773120519
313,1190315402
314,759569792
315,587073986
316,58236008
317,1519430504449196037
318,27462130
319,9010952
320,1369018633079373833
321,907640733338787840
322,936292887330992130
323,1520253151047159808
324,1263501543816347648
325,103095293
326,1505019108248768514
327,2233369596
328,1009688217942048769
329,1427556911155646468
330,1504457719130234883
331,1459232538552160259
332,1520154188914872321
333,3309756113
334,1330312959546023936
335,1519221967441776673
336,1455187845300228104
337,1242935575709171714
338,1512761570379579396
339,1520109212092751872
340,201275812
341,33560648
342,1487454548696305665
343,50914694
344,1516762723769626625
345,1520082258295730177
346,1518954896384577536
347,1418350004616433665
348,10861662
349,1346180896353730560
350,1519569938230431744
351,440498653
352,1498891803939905536
353,1519578980202041345
354,1520063169225449477
355,796732808232402949
356,745552963
357,882041521243119616
358,484153311
359,1515568803756724224
360,20749955
361,1512081893558132740
362,1497714154261692416
363,1460484589147803649
364,861379904197332993
365,43452624
366,1518368506215022592
367,4470686954
368,1519867980749889536
369,1519475853876510727
370,1497484904858222593
371,1519845540762206210
372,1425792105604128769
373,1519748624254709760
374,1518758660775845891
375,1511074037958647819
376,1519785668356022273
377,1517914874294284289
378,1300608840858304512
379,873183624069296128
380,575586773
381,377174457
382,182085816
383,20714090
384,1518864921794031616
385,1512494512874139664
386,1445099500452843526
387,373185174
388,1519597378399088641
389,1508088914329980933
390,1512927817893306368
391,1464752288552132608
392,2997864620
393,1326649837471805445
394,1096444500958957568
395,1519410940600778752
396,1519329440693723136
397,1518808775133589504
398,1377319602032574464
399,1518984035124535297
400,2819191182
401,859436949127524352
402,1518685165064798209
403,1517521614325391361
404,1513020936156504070
405,1466517499378290692
406,1519172029529956355
407,1512749759181856772
408,1518730670889181189
409,1518976900034670593
410,222954859
411,4856853432
412,1382223295781634048
413,1498844658163613696
414,483491292
415,1519050141461848067
416,1518913585623277568
417,1067625483020451840
418,1424329549735612417
419,1511886048955371527
420,1518872623756754944
421,794147289367531520
422,14117957
423,1161774907992301568
424,1485905080129892353
425,1518812489173057536
426,881741328
427,1418823849420939266
428,1507504887357063169
429,1500616754573287426
430,82468527
431,1518737963781341184
432,1027890899886501889
433,1518742504643784704
434,905183272946339840
435,1518700736930099201
436,1518665724176347136
437,1141278072215228417
438,1202048113852198913
439,1518677360970661888
440,58875384
441,4786043195
442,1507402918449881093
443,1518650722648219648
444,924477554639040512
445,734999927953227776
446,1518512197999157249
447,1451974743746224128
448,1518559686559207425
449,1516879182546243584
450,1516352332186931201
451,1509967556232331264
452,1512769342307553289
453,55274008
454,1518448666066833408
455,1518422975581593601
456,469062936
457,19756881
458,1516867762160816128
459,14261352
460,1503543455070494720
461,3092347942
462,1263367957813420033
463,1492194874447495170
464,1511182719509680132
465,1518237191801085952
466,1494319472651423745
467,1469655848704253952
468,1392896966615617536
469,905932650107588608
470,1517484572228923394
471,1505505850047152129
472,1517293671217078277
473,1427962495390601220
474,22812759
475,1517923879565819904
476,723295433733361664
477,1517892557556137986
478,964196280
479,86743457
480,1463004891413057536
481,36819720
482,1517670098085060608
483,1517666544305774596
484,195336921
485,17268749
486,1517600920120537088
487,1477820383311335424
488,1426927071788478466
489,1089928454571806721
490,1453744530
491,892579773582409728
492,1496705887330840580
493,508192994
494,1517270490469081088
495,225713145
496,198563212
497,48650619
498,1517161723240665089
499,1212142442645843968
500,1172295521660284928
501,1421569287173533696
502,1352821066117341186
503,993774629549412352
504,1431838043825127425
505,1458088707702071313
506,1516940118204026881
507,133885798
508,837443049693274112
509,1116420660270718976
510,433911866
511,1254555065702068235
512,1020684722
513,1482125781027405830
514,1516845559579037699
515,2354176039
516,1516778216140193808
517,1508507070315712513
518,2369186479
519,1265052380367855618
520,1296476314052882433
521,1418436423363923971
522,106913136
523,1429126790677766156
524,1513054252943347715
525,1515174849727156224
526,1485764897682112516
527,3232815192
528,1515001381148573700
529,58033610
530,1310679881437663233
531,1370827673904181252
532,141664648
533,1516362731884101636
534,1236439334997254145
535,1509574020890517505
536,1408290280420241410
537,1464588557834727431
538,3000484922
539,304607486
540,1093288890
541,1225990561032699904
542,1509176104782811143
543,1509325696606216193
544,118556411
545,142448757
546,1292824883143958529
547,1346798667936784384
548,1515934349228576773
549,1184937201760534529
550,163686442
551,1283537346596679683
552,1496621837874343950
553,977977889898426368
554,1461842059535474696
555,41500634
556,1511463479961661440
557,2516129750
558,50023045
559,1362702997294247942
560,927766742696415232
561,1515434296747646981
562,1515427459872825349
563,1467286814079606786
564,977196852
